WORD: origin, FREQ: 1
WORD: nickname, FREQ: 1
WORD: jokingly, FREQ: 1
WORD: replies, FREQ: 1
WORD: maybe, FREQ: 1
WORD: irish, FREQ: 1
WORD: versed, FREQ: 1
WORD: presents, FREQ: 1
WORD: pious, FREQ: 1
WORD: devout, FREQ: 1
WORD: christian, FREQ: 1
WORD: reform, FREQ: 1
WORD: minded, FREQ: 1
WORD: administrator, FREQ: 1
WORD: actions, FREQ: 1
WORD: reveal, FREQ: 1
WORD: corrupt, FREQ: 1
WORD: ruthless, FREQ: 1
WORD: remorseless, FREQ: 1
WORD: heywood, FREQ: 1
WORD: member, FREQ: 1
WORD: long, FREQ: 1
WORD: capt, FREQ: 1
WORD: chief, FREQ: 1
WORD: sadistic, FREQ: 1
WORD: guard, FREQ: 1
WORD: thinks, FREQ: 1
WORD: nothing, FREQ: 1
WORD: delivering, FREQ: 1
WORD: beatings, FREQ: 1
WORD: keep, FREQ: 1
WORD: declined, FREQ: 1
WORD: offer, FREQ: 1
WORD: study, FREQ: 1
WORD: preparation, FREQ: 1
WORD: many, FREQ: 1
WORD: inspirations, FREQ: 1
WORD: balance, FREQ: 1
WORD: young, FREQ: 1
WORD: convict, FREQ: 1
WORD: whose, FREQ: 1
WORD: experiences, FREQ: 1
WORD: hold, FREQ: 1
WORD: truth, FREQ: 1
WORD: rolston, FREQ: 1
WORD: diamond, FREQ: 1
WORD: rapist, FREQ: 1
WORD: librarian, FREQ: 1
WORD: trustee, FREQ: 1
WORD: oldest, FREQ: 1
WORD: character, FREQ: 1
WORD: jeffrey, FREQ: 1
WORD: demunn, FREQ: 1
WORD: prosecuting, FREQ: 1
WORD: attorney, FREQ: 1
WORD: trial, FREQ: 1
WORD: argued, FREQ: 1
WORD: allegory, FREQ: 1
WORD: maintaining, FREQ: 1
WORD: self, FREQ: 1
WORD: worth, FREQ: 1
WORD: hopeless, FREQ: 1
WORD: position, FREQ: 1
WORD: important, FREQ: 1
WORD: lacking, FREQ: 1
WORD: suggests, FREQ: 1
WORD: provides, FREQ: 1
WORD: illustration, FREQ: 1
WORD: unfree, FREQ: 1
WORD: outlooks, FREQ: 1
WORD: noted, FREQ: 1
WORD: unique, FREQ: 1
WORD: nonsexual, FREQ: 1
WORD: secured, FREQ: 1
WORD: rights, FREQ: 1
WORD: impressing, FREQ: 1
WORD: woman, FREQ: 1
WORD: become, FREQ: 1
WORD: maintained, FREQ: 1
WORD: pen, FREQ: 1
